LigVolBP,LigVolpred
213.71,212.9224593506493
334.34,336.4915239285713
294.52,300.02235261223234
425.28,428.0211633333337
388.88,399.0272833333334
287.61,294.72300333333334
277.13,260.2687816666666
249.78,235.70749166666653
653.15,645.8157423809527
150.16,149.93350000000012
193.53,197.2013999999999
215.92,208.25645329365088
435.86,419.3878285714288
567.57,550.1714266666665
587.45,572.3904416666667
528.31,520.0737646825397
127.4,126.39370155844148
224.99,226.82260166666677
166.24,166.56060769841267
694.27,712.9940416666669
325.36,318.4446000000001
437.77,430.5555666666671
228.31,227.906815
121.3,118.17958152573992
238.42,244.86679503066375
354.51,370.4583333333334
235.09,230.1764366666665
228.4,219.2986583333334
798.12,766.9044833333335
218.59,217.60685499999985
589.92,582.9390071428571
180.45,186.45019031746023
572.35,602.9274976010106
138.77,141.67229531746034
663.26,664.3835999999993
648.53,654.3886333333328
366.48,380.06625476190464
280.34,285.29116282051274
274.0,267.5777250000003
469.63,479.8547938955029
236.21,238.67281166666672
471.66,463.7001864440997
236.62,230.85630000000003
287.81,288.9460345238095
476.18,467.24705
469.17,474.3961833333333
81.37,81.44877500000013
98.98,101.62332149122815
173.54,171.36129879120875
657.27,675.4392461904763
150.82,149.8818444444442
232.27,228.96390130952383
474.24,459.3098416666668
185.67,186.45019031746023
418.66,413.80540250000007
312.34,308.5987000000001
303.33,298.58338999999995
256.68,248.8485500000001
221.33,224.69574500000013
679.03,676.9945499999999
212.13,211.21393690476188
156.1,155.24134345238102
326.75,326.5822400000002
223.74,225.73385499999992
514.41,534.3532640476186
463.52,448.6649333333333
395.82,385.4395999999999
149.89,147.5764270556405
474.45,468.6906000000001
151.24,156.82578501221005
167.2,162.3801277777778
379.96,377.3849032142857
303.14,308.6124983333335
591.41,605.9666666666668
617.83,603.815066666667
342.7,348.89383333333325
129.7,126.77711067634546
366.31,360.2021400000002
285.35,278.3496500000003
431.21,429.0640249999993
153.69,156.1813823702686
529.97,533.8555100000001
240.25,249.34473333333324
213.07,192.8020916666667
222.94,213.6053166666666
149.64,147.18828571428566
416.7,414.5205836904762
769.75,766.3210877380958
821.21,811.2962466666663
757.43,737.7746776190473
588.76,592.0483073809523
271.48,278.3603003282829
398.11,418.1114733333333
694.8,682.9461016666662
610.39,625.0040000000005
176.45,173.63821559440555
345.32,348.3863100000001
384.81,385.1740833333333
446.99,473.3386666666665
392.04,401.5173410714291
287.06,292.81528214285714
328.43,329.28345
189.39,190.63285000000005
630.32,634.8338804303701
217.42,217.5788829179155
522.75,533.2554966666668
158.38,156.1813823702686
286.45,276.7446052380953
429.57,429.1820000000002
260.84,266.2088216666666
313.05,331.2190151515153
376.85,356.7496333333333
242.89,237.69941500000013
367.03,363.50304158730137
198.42,206.92646
188.85,188.55430833333324
483.58,467.3230690476192
435.66,441.0188333333333
358.23,368.8356149999997
372.39,352.647425
892.74,846.9180626190478
192.14,198.684469047619
285.43,289.2439999999999
606.56,603.6656795634923
637.43,652.6727227777775
605.04,618.3684050793655
561.47,534.7773257203908
134.67,140.85921750000009
504.07,491.5403432778028
428.4,431.0779990259739
121.75,119.51095087301591
348.77,345.2372123188406
188.55,192.7982250000001
337.9,344.6207923015873
361.78,358.139605
294.29,300.02235261223234
463.1,448.1724923076926
149.14,152.72948910714285
290.42,295.1647333333333
371.88,384.80415000000016
249.88,254.10064999999992
466.29,469.6888042857144
532.81,539.8402649999996
277.81,283.07219999999995
269.37,268.3539119047619
245.56,250.61953333333312
330.53,321.2126166666668
223.13,227.60659000000012
156.85,153.86670781746037
127.0,129.81411076923075
248.23,245.23910510822495
417.5,407.45818761904775
345.99,344.57467000000014
332.43,320.77249
258.6,256.56162107142853
229.01,234.2045833333333
541.26,534.7773257203908
417.15,421.00967666666656
170.02,164.5421580952382
118.37,119.56773694444436
165.05,171.99227499999998
372.36,368.25472761904746
482.93,491.92130777809984
433.11,432.1504333333334
118.03,118.17958152573992
234.39,229.6242150000001
372.11,367.6908083333333
404.75,415.1608583333334
192.4,190.42294837301583
123.96,123.00058999999996
371.46,369.137851190476
253.27,251.9915288095238
145.61,140.50793657509152
427.87,416.1349181349208
267.87,264.4874733333331
549.59,546.0310917460318
390.69,400.5788884920636
168.4,165.45163666666653
203.13,209.69527373737367
542.09,553.2537883333333
546.64,552.3081861904764
287.85,289.4432499999998
225.6,225.50740000000036
285.6,288.25744
333.1,332.37296880952374
223.16,221.11037499999992
351.48,353.47804999999994
379.71,373.4152708333333
174.16,173.30246797200363
135.83,138.2387266666666
371.64,374.2430826190477
347.16,340.8619645238095
233.61,244.07237714285696
782.84,761.9240916666668
345.87,346.3348785714284
374.64,382.8710866666668
223.1,220.91906666666665
913.85,882.099783333334
142.59,142.83039999999994
268.41,267.78475
729.92,733.0028433333333
227.82,238.56652476190465
359.37,360.3859000000004
510.94,482.1933891666668
284.45,284.45989999999995
216.18,208.3977753205128
208.21,212.1345333333333
345.42,347.3697666666667
351.15,359.7002500000005
491.56,487.62527142857135
715.32,686.9377559523807
683.2,665.8265500000005
356.48,362.4683000000001
137.74,135.67105555555548
215.11,213.7895857142857
123.29,124.93283309523812
504.9,491.92130777809984
476.3,491.92130777809984
135.04,136.45759206349206
125.39,126.77711067634546
86.24,88.05506182539676
151.0,154.5877466666667
481.69,476.3507997619045
421.03,429.8713416666667
274.24,274.76964916666685
141.34,141.7776333333333
169.5,165.592925
270.54,266.4511
284.64,280.3885533333334
330.34,326.8833649999999
475.0,464.0366
267.35,259.01806666666675
375.35,374.159585
401.32,399.3152000000002
555.3,547.7219466666664
347.49,342.6092333333329
359.31,341.8540000000001
321.85,321.93841619047623
706.42,691.5381444444448
539.36,556.040127619048
159.08,154.40209000000024
238.92,239.63373904761892
256.28,259.1554373809524
468.9,465.1018333333338
786.4,824.8185690476191
429.83,415.4822250000002
424.97,427.04839999999984
335.93,330.4888307539684
294.25,298.67729300911964
311.84,301.548769623656
343.96,342.10052738095254
186.65,185.5386683333333
542.76,565.8417745238089
282.04,282.7560633333333
549.44,537.7095953138528
262.84,262.6580200000001
336.68,321.90284999999994
296.63,300.02235261223234
245.51,240.63783500000005
356.6,361.8371640659337
91.15,93.106104504662
84.27,84.17472999999994
221.08,225.3795250000001
393.0,390.7255809523807
320.54,315.50355110436175
163.73,169.63517583333334
557.6,563.595616666666
270.29,275.5776431912532
213.02,212.4151875000001
447.44,444.7089583333338
337.66,335.0017848895548
360.63,349.3185543859654
501.41,485.5664066666661
843.22,848.3077249999993
357.23,372.94229999999993
254.49,256.19245440476186
260.56,264.1120833333334
417.78,411.7331257142857
244.02,255.35916666666645
399.83,395.06981666666667
349.95,359.78140000000013
334.52,325.7096416666669
265.56,270.20474253968246
328.22,351.6227083333334
576.67,561.2804533333334
409.27,426.4372183333333
511.05,502.6419709920636
118.55,119.84144027777764
164.01,165.45163666666653
266.56,263.9550741666666
307.93,302.5539000000004
187.84,197.0226
481.72,492.8129333333335
160.25,155.91179751082262
242.7,243.2529916666667
274.87,277.2954500000001
118.62,119.09909999999996
133.35,134.2186416666666
126.02,123.86898166666664
280.33,282.79632142857145
361.41,366.4027000000002
397.17,400.53125000000034
411.06,413.5468015476192
467.37,463.66640000000064
298.45,309.70154338453256
306.12,292.4525778787875
245.07,244.03539476190477
347.59,344.40498333333346
164.39,162.16107777777796
180.54,188.7659422222222
314.81,303.83692499999995
151.65,149.40979186709893
199.67,189.91693666666663
222.61,208.2864954545455
569.45,574.3747666666667
498.27,497.9004166666658
467.36,478.419721785714
378.44,379.3157476190476
468.47,483.67137238095233
596.78,602.4694066666665
484.87,482.481237619048
347.73,339.6212831392219
313.04,315.50355110436175
167.33,166.38853732302022
593.9,572.6932066666667
303.73,296.13794999999993
330.61,333.5197416666666
123.85,124.46204428571431
320.9,329.5559000000002
294.39,302.2673333333333
541.0,548.4705908730159
400.43,398.2176083333333
326.89,325.7998933333336
251.65,252.97180873015876
251.12,247.68586452380947
98.16,100.20387198717955
449.19,452.1226166666667
370.99,371.40036666666657
297.02,295.6719500000001
304.75,302.9058166666667
375.96,375.7230999999998
221.07,219.28188158730157
133.06,133.93867999999992
361.88,355.0367588619711
244.07,226.8344527777776
157.04,160.1869359447497
156.93,160.1869359447497
542.45,532.7148966666667
216.41,210.8164333333333
268.61,269.8560750000003
227.18,221.30083333333343
269.96,274.9554
308.82,305.18677333333324
253.13,249.22309500000003
360.48,368.9063500000001
271.38,268.97780833333326
540.96,549.5547833333329
538.25,549.5436008333331
164.85,166.38853732302022
175.84,177.89954393162398
424.52,413.2421323809522
418.53,413.8435000000002
100.63,100.6266145833334
415.9,432.9524666666667
245.81,247.7546166666667
253.02,247.7546166666667
343.33,350.1978971428572
601.6,588.5865449999997
580.47,580.2188499999997
405.44,410.3586999999994
334.41,319.4332714285715
258.14,265.04391087301593
254.68,255.73030242063484
210.21,208.25645329365088
306.78,308.58123701308995
94.22,98.12350000000002
369.6,379.4081333333334
187.18,194.2218
227.65,221.30544999999995
699.22,695.4665050000004
243.26,231.56020333333345
238.53,245.3483666666668
173.9,173.79516999999993
255.98,266.7552933333334
425.19,409.1296800000005
417.76,411.2596133333334
433.94,448.2185666666668
490.3,472.5295000000001
255.96,254.5142866666665
280.91,275.7166408103008
254.44,253.09883000000005
601.89,594.7783333333332
276.61,268.1668499999999
456.38,461.38690000000025
506.62,531.7942933333336
213.39,212.4439266666667
170.24,167.11606999999995
175.25,170.5576288095238
196.12,195.51818749999987
623.11,619.8889595238094
602.29,606.3546744444446
393.22,374.3205480952379
110.79,111.97739999999988
334.64,346.22382500000015
172.31,185.2707450000001
331.22,329.2222833333333
283.58,270.6218666666667
189.68,199.74189333333345
300.84,302.79723333333334
266.94,271.1844949999998
237.22,239.4055333333337
704.24,705.0474166666667
343.26,340.9975031776554
303.82,309.70154338453256
292.83,291.6705500000004
307.94,301.63149333333354
413.98,413.8596246212122
278.62,281.42013857142854
335.78,320.44804653846154
334.73,339.6212831392219
239.24,241.94298666666663
129.74,135.40111777777787
322.13,329.259648333333
387.57,394.7311666666661
138.79,138.09764559523805
217.0,219.3973966666668
360.64,372.1531599999999
484.52,492.38159999999993
264.45,257.64554999999973
510.37,508.48719295454566
802.64,827.9700966666669
110.48,112.87187511904762
326.89,326.8674916666668
277.13,272.5391349999999
132.79,129.97469892857143
423.34,415.0923208333339
279.57,266.18485621212125
219.61,218.65687499999996
280.93,292.7693333333333
383.71,394.7311666666661
234.43,227.64688333333328
239.68,242.7812150000001
267.44,250.02279000000007
302.13,302.1045833333332
268.24,269.204171010101
485.33,511.8265550000003
417.62,432.0266350000001
315.2,319.73479999999995
319.2,310.0989166666662
338.9,332.90437365079373
339.97,329.7603714285714
782.58,757.7643000000005
336.36,339.3419361904757
218.7,219.7423
148.4,147.6407958333334
247.45,245.6135199999999
284.76,281.4943897619051
357.01,351.97439999999995
430.37,420.2843533333334
457.63,438.3438666666669
225.4,224.99464999999992
416.74,407.2818666666667
1005.02,936.3308000000007
262.41,267.6220583333335
220.55,213.24539999999988
689.22,679.0283499999991
137.36,138.58816055555553
305.74,308.3592866666666
329.25,311.2584500000002
450.77,431.2210300000001
351.9,359.09861666666666
756.23,761.809960000001
743.75,761.809960000001
872.5,842.517978571429
385.89,388.5475333333332
254.86,252.1332333333334
523.59,522.2924549999996
294.7,304.1214760606061
430.71,444.34520000000026
412.1,423.5760955952379
252.96,262.6580200000001
383.59,366.1954000000003
358.68,370.9610749999998
459.32,445.5213500000001
272.14,278.32852999999983
227.97,225.23111083333333
437.11,439.3724955555557
324.58,323.96015000000006
166.35,164.7430751515152
281.46,277.3960111111111
143.14,142.1678366666668
245.94,243.52755833333325
194.63,190.49829670634915
366.85,349.27731000000006
397.08,387.0441533333336
401.94,389.0692100000001
114.52,114.63698357142846
247.66,239.30141999999992
271.87,276.5022988888892
248.89,256.40997452380964
361.96,357.9038
439.52,449.1074346153845
203.07,209.78120726800967
127.11,126.81059571428568
162.25,160.47797103174608
445.63,433.3609200000002
145.61,149.78248436507937
415.72,422.3158333333336
363.19,354.87536666666665
535.81,525.2134361255415
381.75,354.48421333333323
406.02,417.5327983333332
270.52,265.53896999999995
442.0,443.49178500000033
441.54,439.65006000000017
251.69,252.57629166666615
388.49,390.72059
246.29,255.5288533333331
563.39,546.1871841666662
221.06,224.1788583333335
222.91,224.1788583333335
595.27,586.1972057142856
133.82,136.97508607142868
257.07,259.2270075
330.13,320.72689999999955
125.75,126.73628983348212
405.92,415.9430366666669
375.26,363.9898899999999
345.15,351.7929961363636
136.91,136.97508607142868
107.81,101.01779358974358
697.86,714.1831466666667
411.67,417.5126500000003
415.1,423.8514666666667
286.01,283.08320000000015
109.26,108.63037500000009
277.27,281.61200833333345
223.42,225.92780000000005
427.83,455.3891795238096
330.85,344.3484599999998
254.09,258.77487
543.1,545.9970572222221
528.86,512.1218566666668
446.09,446.2082316666665
272.72,263.2083750000001
662.4,656.17339
202.48,197.2672071428571
602.89,592.781133333333
229.35,222.60593136363636
291.11,298.393293076923
642.39,647.7687659523809
452.26,455.7342249999999
429.69,422.685225
216.98,222.57397666666677
216.54,215.0136555555555
249.12,249.44966404761897
175.77,168.55939714285716
408.63,399.7312000000002
149.27,146.4975232539682
217.24,226.6689000000001
403.13,421.380174404762
118.19,118.5937667494786
391.98,387.4607952380954
595.06,606.1762916666665
207.55,207.56355972222224
137.19,134.50344111111116
299.47,296.7849999999997
284.94,287.2151000000002
233.1,242.69795833333328
268.84,269.04684166666704
210.71,203.5376783333333
384.0,376.38511
182.68,187.6304000000001
714.31,751.6462783333332
748.49,751.6462783333332
439.39,453.6751866666668
189.18,190.34034714285696
415.42,413.8999580303032
278.87,286.0979999999999
319.88,318.8500899999999
252.69,247.3985958333333
324.35,326.45410000000027
495.71,491.3961380903223
226.45,220.83644285714263
245.75,249.95993500000003
134.68,140.64841916666674
113.32,114.63698357142846
144.72,145.86946532106774
146.5,149.84379275237742
159.42,160.60844870018866
210.06,209.78120726800967
594.36,602.0522357142852
253.82,250.6725511904763
440.15,433.0866716666665
398.22,396.21863000000025
404.29,395.619321428572
224.29,219.33278666666652
371.97,366.882683333333
420.55,424.85101666666674
282.84,284.1062083333334
391.33,397.6924666666668
555.66,555.6979916666663
530.75,543.4367191666664
369.98,364.5996066666666
183.87,185.96600333333336
416.29,450.2121714285713
93.2,93.05190324703076
360.04,351.10511287878785
215.74,213.25294374458863
187.26,191.88846666666652
307.49,308.9479596816952
260.66,250.721425
411.17,419.8332999999998
378.75,370.0777000000001
235.24,226.4919833333333
112.67,118.84082999999993
654.13,654.8798999999995
217.3,214.27506666666667
341.77,331.67231666666675
426.23,448.0844599999999
342.8,342.0264624669226
226.02,224.02722272727283
138.29,137.89543218253965
320.11,315.648
369.63,367.88778666666656
342.34,339.7590166666668
310.79,300.7517250000002
539.75,548.4453533152958
255.6,254.4442452380953
456.85,439.75128
851.46,802.3496283333334
547.76,539.5591071428573
319.58,328.5636083333334
250.31,244.16692666666648
490.68,488.4006221452993
735.62,751.6462783333332
121.24,119.41350916666674
186.88,193.7435333333336
252.69,243.38551333333328
463.99,458.8169633333336
181.05,179.22031511183263
612.51,637.3306877188091
176.19,173.56607151487407
378.48,365.3504966666666
507.78,496.65938671164673
343.48,345.79548833333354
603.7,593.6104166666664
222.72,212.97247045454557
272.62,264.9840433333334
358.29,354.5312780067154
405.98,411.69406666666686
680.84,682.3578666666671
237.11,233.45183186813173
124.25,128.91686857142852
83.95,84.11606999999995
349.58,349.99588333333327
121.46,119.82911880952372
239.72,230.5279916666667
560.9,573.7187333333329
583.34,570.7958833333332
167.37,163.78440833333354
429.67,435.46546
264.13,275.0235000000003
156.34,157.14271999722502
324.1,339.60070000000013
296.18,282.393715
212.89,208.37357202380952
303.34,303.68229333333323
459.48,461.5965199999997
331.84,332.85914490981247
264.21,247.7191066666666
294.06,287.82128333333344
531.21,542.5406513636361
563.37,570.0338199999997
264.19,260.6445824999999
288.65,295.7870033333331
314.19,307.8914999999998
356.5,345.7685883333335
749.73,732.3715000000004
455.71,459.3182523290759
456.84,459.3182523290759
453.26,459.3182523290759
112.97,111.07287710144928
280.26,278.5252196969697
210.68,220.16337833333336
173.53,166.47419068722942
194.86,191.56452666666664
360.58,355.5195166666669
391.84,402.7109833333333
240.74,242.2353635714285
405.6,400.95555833333344
227.77,229.1581016666666
434.39,440.0469000000004
462.47,459.3182523290759
148.91,151.66274999999987
343.5,347.2172888888883
333.19,338.37036510822514
636.91,642.9064433333336
653.23,678.9292128571427
316.26,300.5348609601509
342.79,341.0510999999999
429.41,417.1735608333334
385.01,400.1832333333334
358.38,357.4683
359.7,351.4165233333333
125.21,126.81059571428568
364.05,357.7887029999999
609.41,608.4930550000004
260.23,259.8151499999998
222.2,217.61279999999977
159.29,160.28665238095218
265.93,257.9870333333336
127.61,129.7670766666667
252.74,257.9870333333336
401.71,399.56092000000007
317.61,319.1818978571428
393.53,415.4415250000002
315.58,311.9466864285713
408.73,407.538388095238
319.56,320.4897666666665
356.36,376.9399566666668
220.84,225.085474047619
499.19,520.2259466666668
170.76,170.73816666666664
201.23,199.59975000000009
247.11,237.55166666666668
409.02,410.9938333333334
211.26,205.1657222222222
394.5,403.03675833333335
263.95,260.7188350000001
264.33,268.0064231349208
330.35,339.0308911764707
452.38,443.3358999999999
627.89,604.6287566666665
136.81,133.05782
274.87,276.746037596015
138.73,142.6775909523809
213.09,216.09544999999997
109.87,114.63698357142846
499.91,526.0704304761908
443.46,453.2206800000001
330.04,337.6097833333333
279.76,293.67405
537.94,512.8628383333335
738.76,746.1161557142862
607.17,632.277296991342
126.27,124.46812692307678
306.63,306.9478666666668
133.68,131.35168690476195
146.59,150.42767992424265
158.54,161.0139166666665
230.5,231.6782900000001
567.75,544.2430404761901
396.53,375.1950299999998
197.23,198.68696499999987
